Teste;Algoritmo;Tamanho_Base;Tamanho_Procurada;Casa_Casamento;Tempo_Execucao_ms;Numero_Comparacoes;Houve_Casamento
180;Força Bruta;10000000;10;314433;1,89;419392;Sim
181;Força Bruta;10000000;12;-1;57,42;13331068;Não
182;Força Bruta;10000000;12;-1;57,96;13333869;Não
183;Força Bruta;10000000;12;-1;59,78;13335492;Não
184;Força Bruta;10000000;12;7049793;40,75;9399709;Sim
185;Força Bruta;10000000;12;-1;53,38;13334050;Não
186;Força Bruta;10000000;12;-1;58,71;13332510;Não
187;Força Bruta;10000000;12;-1;59,36;13330722;Não
188;Força Bruta;10000000;12;-1;59,56;13332767;Não
189;Força Bruta;10000000;12;-1;60,19;13334527;Não
190;Força Bruta;10000000;12;-1;58,69;13336710;Não
191;Força Bruta;10000000;15;-1;57,32;13331065;Não
192;Força Bruta;10000000;15;-1;57,42;13333866;Não
193;Força Bruta;10000000;15;-1;58,63;13335487;Não
194;Força Bruta;10000000;15;-1;57,13;13334752;Não
195;Força Bruta;10000000;15;-1;53,93;13334047;Não
196;Força Bruta;10000000;15;-1;59,19;13332506;Não
197;Força Bruta;10000000;15;-1;58,93;13330719;Não
198;Força Bruta;10000000;15;-1;59,12;13332764;Não
199;Força Bruta;10000000;15;-1;58,89;13334524;Não
200;Força Bruta;10000000;15;-1;58,90;13336707;Não
201;KMP;100000;8;14627;1,91;18114;Sim
202;KMP;100000;8;40740;4,97;50275;Sim
203;KMP;100000;8;68890;1,84;84987;Sim
204;KMP;100000;8;10900;0,25;13696;Sim
205;KMP;100000;8;49933;1,13;62103;Sim
206;KMP;100000;8;69840;1,30;87283;Sim
207;KMP;100000;8;86192;1,99;107344;Sim
208;KMP;100000;8;19336;0,61;24252;Sim
209;KMP;100000;8;53669;1,26;66641;Sim
210;KMP;100000;8;12709;0,29;15977;Sim
211;KMP;100000;10;-1;2,33;123357;Não
212;KMP;100000;10;-1;0,88;123394;Não
213;KMP;100000;10;-1;3,51;123301;Não
214;KMP;100000;10;-1;5,21;125062;Não
215;KMP;100000;10;-1;9,92;124527;Não
216;KMP;100000;10;-1;0,64;125010;Não
217;KMP;100000;10;-1;0,55;124571;Não
218;KMP;100000;10;-1;0,56;124712;Não
219;KMP;100000;10;-1;0,65;124153;Não
220;KMP;100000;10;-1;0,60;125105;Não
221;KMP;100000;12;-1;0,51;123361;Não
222;KMP;100000;12;-1;0,54;123396;Não
223;KMP;100000;12;-1;0,52;123303;Não
224;KMP;100000;12;-1;0,57;125064;Não
225;KMP;100000;12;-1;0,59;124530;Não
226;KMP;100000;12;-1;0,57;125013;Não
227;KMP;100000;12;-1;0,55;124573;Não
228;KMP;100000;12;-1;0,59;124714;Não
229;KMP;100000;12;-1;0,55;124155;Não
230;KMP;100000;12;-1;0,61;125107;Não
231;KMP;100000;15;-1;0,55;123366;Não
232;KMP;100000;15;-1;0,51;123401;Não
233;KMP;100000;15;-1;0,51;123307;Não
234;KMP;100000;15;-1;0,57;125068;Não
235;KMP;100000;15;-1;0,55;124534;Não
236;KMP;100000;15;-1;0,56;125017;Não
237;KMP;100000;15;-1;0,55;124577;Não
238;KMP;100000;15;-1;0,56;124718;Não
239;KMP;100000;15;-1;0,55;124158;Não
240;KMP;100000;15;-1;0,62;125110;Não
241;KMP;500000;8;76661;0,40;94892;Sim
242;KMP;500000;8;112306;0,94;138429;Sim
243;KMP;500000;8;100921;0,56;124699;Sim
244;KMP;500000;8;8927;0,08;11163;Sim
245;KMP;500000;8;94857;0,54;118506;Sim
246;KMP;500000;8;274411;2,60;343050;Sim
247;KMP;500000;8;18503;0,11;23121;Sim
248;KMP;500000;8;10231;0,06;12619;Sim
249;KMP;500000;8;50622;0,27;62264;Sim
250;KMP;500000;8;208055;1,52;260183;Sim
251;KMP;500000;10;-1;3,00;617450;Não
252;KMP;500000;10;-1;2,94;617165;Não
253;KMP;500000;10;-1;3,62;617591;Não
254;KMP;500000;10;-1;3,34;624759;Não
255;KMP;500000;10;-1;3,28;624731;Não
256;KMP;500000;10;274411;1,89;343054;Sim
257;KMP;500000;10;379777;2,52;474554;Sim
258;KMP;500000;10;-1;2,93;616929;Não
259;KMP;500000;10;-1;2,82;616598;Não
260;KMP;500000;10;-1;3,23;624670;Não
261;KMP;500000;12;-1;3,50;617452;Não
262;KMP;500000;12;-1;3,19;617168;Não
263;KMP;500000;12;-1;3,62;617593;Não
264;KMP;500000;12;-1;3,76;624762;Não
265;KMP;500000;12;-1;4,89;624733;Não
266;KMP;500000;12;274411;2,03;343060;Sim
267;KMP;500000;12;-1;3,28;624727;Não
268;KMP;500000;12;-1;3,24;616933;Não
269;KMP;500000;12;-1;2,86;616600;Não
270;KMP;500000;12;-1;3,59;624673;Não
271;KMP;500000;15;-1;2,75;617455;Não
272;KMP;500000;15;-1;2,61;617171;Não
273;KMP;500000;15;-1;2,61;617597;Não
274;KMP;500000;15;-1;2,86;624766;Não
275;KMP;500000;15;-1;2,95;624736;Não
276;KMP;500000;15;-1;3,29;625222;Não
277;KMP;500000;15;-1;3,07;624730;Não
278;KMP;500000;15;-1;2,71;616936;Não
279;KMP;500000;15;-1;2,62;616604;Não
280;KMP;500000;15;-1;2,93;624676;Não
281;KMP;1000000;8;32482;0,21;40642;Sim
282;KMP;1000000;8;5660;0,04;7135;Sim
283;KMP;1000000;8;65398;0,41;81858;Sim
284;KMP;1000000;8;19915;0,11;24434;Sim
285;KMP;1000000;8;1680;0,01;2130;Sim
286;KMP;1000000;8;49186;0,26;60792;Sim
287;KMP;1000000;8;48381;0,30;60394;Sim
288;KMP;1000000;8;66474;0,35;81865;Sim
289;KMP;1000000;8;10042;0,10;12598;Sim
290;KMP;1000000;8;59306;0,31;73355;Sim
291;KMP;1000000;10;82066;0,47;102552;Sim
292;KMP;1000000;10;-1;6,40;1250030;Não
293;KMP;1000000;10;662432;3,84;827473;Sim
294;KMP;1000000;10;132798;0,68;163945;Sim
295;KMP;1000000;10;586854;3,33;733529;Sim
296;KMP;1000000;10;-1;5,02;1234572;Não
297;KMP;1000000;10;668158;4,07;834977;Sim
298;KMP;1000000;10;-1;5,19;1233968;Não
299;KMP;1000000;10;152311;0,91;190039;Sim
300;KMP;1000000;10;228689;1,18;282300;Sim
301;KMP;1000000;12;82066;0,48;102557;Sim
302;KMP;1000000;12;-1;5,70;1250033;Não
303;KMP;1000000;12;-1;5,86;1249463;Não
304;KMP;1000000;12;-1;5,23;1234002;Não
305;KMP;1000000;12;-1;5,60;1249534;Não
306;KMP;1000000;12;-1;5,28;1234574;Não
307;KMP;1000000;12;-1;6,01;1249029;Não
308;KMP;1000000;12;-1;5,10;1233971;Não
309;KMP;1000000;12;-1;5,68;1246014;Não
310;KMP;1000000;12;-1;5,32;1234955;Não
311;KMP;1000000;15;-1;5,78;1249778;Não
312;KMP;1000000;15;-1;6,24;1250036;Não
313;KMP;1000000;15;-1;5,81;1249467;Não
314;KMP;1000000;15;-1;5,34;1234006;Não
315;KMP;1000000;15;-1;5,59;1249538;Não
316;KMP;1000000;15;-1;5,13;1234577;Não
317;KMP;1000000;15;-1;5,77;1249034;Não
318;KMP;1000000;15;-1;5,14;1233975;Não
319;KMP;1000000;15;-1;5,48;1246017;Não
320;KMP;1000000;15;-1;5,18;1234958;Não
321;KMP;5000000;8;109881;0,60;136333;Sim
322;KMP;5000000;8;30572;0,19;38227;Sim
323;KMP;5000000;8;11176;0,07;13906;Sim
324;KMP;5000000;8;51968;0,31;65013;Sim
325;KMP;5000000;8;14469;0,08;17899;Sim
326;KMP;5000000;8;32662;0,22;40856;Sim
327;KMP;5000000;8;46122;0,24;57522;Sim
328;KMP;5000000;8;24997;0,15;31207;Sim
329;KMP;5000000;8;69149;0,40;86568;Sim
330;KMP;5000000;8;36366;0,20;44968;Sim
331;KMP;5000000;10;1387983;7,03;1724332;Sim
332;KMP;5000000;10;613448;3,45;766519;Sim
333;KMP;5000000;10;1051306;5,93;1309543;Sim
334;KMP;5000000;10;506720;2,94;632985;Sim
335;KMP;5000000;10;959091;4,94;1184240;Sim
336;KMP;5000000;10;942868;5,42;1178429;Sim
337;KMP;5000000;10;86198;0,43;107505;Sim
338;KMP;5000000;10;383039;2,18;478930;Sim
339;KMP;5000000;10;416431;2,35;520683;Sim
340;KMP;5000000;10;329262;1,70;406442;Sim
341;KMP;5000000;12;4902592;24,47;6090194;Sim
342;KMP;5000000;12;2448151;14,10;3060635;Sim
343;KMP;5000000;12;-1;28,13;6225841;Não
344;KMP;5000000;12;4832103;27,61;6038824;Sim
345;KMP;5000000;12;-1;25,88;6173170;Não
346;KMP;5000000;12;-1;28,57;6249213;Não
347;KMP;5000000;12;-1;25,17;6237804;Não
348;KMP;5000000;12;-1;28,47;6250469;Não
349;KMP;5000000;12;1337301;7,65;1672595;Sim
350;KMP;5000000;12;-1;25,85;6168173;Não
351;KMP;5000000;15;-1;25,33;6211293;Não
352;KMP;5000000;15;-1;28,71;6249357;Não
353;KMP;5000000;15;-1;39,41;6225845;Não
354;KMP;5000000;15;-1;29,23;6248550;Não
355;KMP;5000000;15;-1;25,91;6173173;Não
356;KMP;5000000;15;-1;28,76;6249216;Não
357;KMP;5000000;15;-1;25,59;6237810;Não
358;KMP;5000000;15;-1;29,35;6250473;Não
359;KMP;5000000;15;-1;29,20;6250987;Não
360;KMP;5000000;15;-1;26,09;6168177;Não
361;KMP;10000000;8;133165;0,76;166168;Sim
362;KMP;10000000;8;21586;0,13;26950;Sim
363;KMP;10000000;8;122160;0,71;152602;Sim
364;KMP;10000000;8;224703;1,26;279708;Sim
365;KMP;10000000;8;7183;0,05;8934;Sim
366;KMP;10000000;8;73337;0,43;91600;Sim
367;KMP;10000000;8;27161;0,17;34066;Sim
368;KMP;10000000;8;27581;0,16;34474;Sim
369;KMP;10000000;8;46875;0,28;58643;Sim
370;KMP;10000000;8;88616;0,54;110951;Sim
371;KMP;10000000;10;216051;1,24;269572;Sim
372;KMP;10000000;10;927441;5,17;1155424;Sim
373;KMP;10000000;10;385132;2,26;481600;Sim
374;KMP;10000000;10;688992;3,85;857255;Sim
375;KMP;10000000;10;7183;0,04;8938;Sim
376;KMP;10000000;10;402308;2,34;502593;Sim
377;KMP;10000000;10;132001;0,77;165044;Sim
378;KMP;10000000;10;1069880;6,09;1336580;Sim
379;KMP;10000000;10;1040075;5,95;1299825;Sim
380;KMP;10000000;10;314433;1,81;393274;Sim
381;KMP;10000000;12;-1;56,24;12461850;Não
382;KMP;10000000;12;-1;56,25;12460554;Não
383;KMP;10000000;12;-1;57,97;12501675;Não
384;KMP;10000000;12;7049793;39,41;8777710;Sim
385;KMP;10000000;12;-1;51,51;12335356;Não
386;KMP;10000000;12;-1;58,19;12500032;Não
387;KMP;10000000;12;-1;58,55;12497819;Não
388;KMP;10000000;12;-1;59,29;12498581;Não
389;KMP;10000000;12;-1;58,22;12499823;Não
390;KMP;10000000;12;-1;57,53;12502236;Não
391;KMP;10000000;15;-1;55,72;12461855;Não
392;KMP;10000000;15;-1;56,77;12460558;Não
393;KMP;10000000;15;-1;57,92;12501679;Não
394;KMP;10000000;15;-1;56,27;12452010;Não
395;KMP;10000000;15;-1;52,24;12335361;Não
396;KMP;10000000;15;-1;58,33;12500035;Não
397;KMP;10000000;15;-1;59,13;12497822;Não
398;KMP;10000000;15;-1;58,30;12498585;Não
399;KMP;10000000;15;-1;57,68;12499827;Não
400;KMP;10000000;15;-1;58,68;12502240;Não
